,Type,Country,Area,Location,Activity,Sex,Age,Fatal,Time,NewDate,NewMonth,NewYear,NewDay,NewAge,NewFatal,NewSpecies
2281,Unprovoked,NEW ZEALAND,Chatham Islands ,Waihere Bay,Diving for abalone,M,23,N,10h00,1996-09-06,Sep,1996,06,23.0,N,White
2282,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing / Swimming,M,19,N,12h15,1996-09-06,Sep,1996,06,19.0,N,Young
2283,Unprovoked,USA,Florida,"Behune Beach, Volusia County",Standing,M,5,N,18h05,1996-09-02,Sep,1996,02,5.0,N,
2284,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Sitting on surfboard,M,28,N,13h25,1996-09-02,Sep,1996,02,28.0,N,
2285,Invalid,USA,South Carolina,"Garden City Beach, Horry County",Boogie boarding,F,28,,Afternoon,1996-09-01,Sep,1996,01,28.0,unknown,
2286,Provoked,SOUTH AFRICA,KwaZulu-Natal,Hibberdene,Spearfishing,M,29,N,07h19,1996-09-01,Sep,1996,01,29.0,N,White
2287,Unprovoked,USA,Hawaii,"Paukukalo, Maui",Body Boarding,M,19,N,16h00,1996-08-29,Agu,1996,29,19.0,N,Tiger
2288,Unprovoked,USA,California,"Bird Rock, Tomales Point",Free diving for abalone,M,36,N,11h15,1996-08-13,Agu,1996,13,36.0,N,White
2289,Unprovoked,USA,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County",Wade fishing,M,21,N,14h00,1996-08-11,Agu,1996,11,21.0,N,Hammerhead
2290,Unprovoked,USA,Florida,"Wiggins Pass, Collier County",Standing,F,8,N,19h30,1996-07-26,Jul,1996,26,8.0,N,
2291,Unprovoked,OKINAWA,Miyako,Hirara City,Swimming,M,52,Y,,1996-07-23,Jul,1996,23,52.0,Y,White
2292,Unprovoked,EGYPT / ISRAEL,"South Sinai, Gulf of Aqaba","1 km off the mouth of Marsa Bereika, north of Ras Mohammed",Free diving with a pod of dolphins,M,,N,18h00,1996-07-23,Jul,1996,23,,N,Whitetip
2293,Unprovoked,USA,Massachusetts,"Truro (Cape Cod), Barnstable County",Swimming,M,46,N,,1996-07-21,Jul,1996,21,46.0,N,
2294,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,9,N,13h30,1996-07-20,Jul,1996,20,9.0,N,
2296,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,M,18,N,13h45,1996-07-10,Jul,1996,10,18.0,N,
2297,Unprovoked,USA,Florida,"Public Beach, Siesta Key, Sarasota County",Standing,F,63,N,14h00,1996-07-04,Jul,1996,04,63.0,N,
2299,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",Body surfing,F,24,N,Afternoon,1996-06-25,Jun,1996,25,24.0,N,
2300,Unprovoked,AUSTRALIA,Victoria,"Suicide Point, Point Leo",Surfing,M,,N,17h30,1996-06-06,Jun,1996,06,,N,White
2302,Unprovoked,SOUTH AFRICA,Western Cape Province,"The Steps, Wilderness",Surfing,M,17,N,14h45,1996-05-28,May,1996,28,17.0,N,White
2303,Invalid,AUSTRALIA,New South Wales,"Wreck of paddle steamer, Koputai, 6 km off Bondi Beach",Tech diving ,M,45,Y,,1996-05-24,May,1996,24,45.0,Y,
2304,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,22,N,13h40,1996-05-18,May,1996,18,22.0,N,
2306,Unprovoked,USA,Florida,"Shark Shallows, Ponce Inlet, Volusia County",Surfing,M,27,N,11h06,1996-05-07,May,1996,07,27.0,N,Spinner
2308,Unprovoked,AUSTRALIA,New South Wales,Mona Vale,Swimming,M,11,N,,1996-04-25,Apr,1996,25,11.0,N,Wobbegong
2309,Unprovoked,AUSTRALIA,New South Wales,Mona Vale,Swimming,F,16,N,,1996-04-25,Apr,1996,25,16.0,N,Wobbegong
2311,Unprovoked,AUSTRALIA,Queensland,Heron Island,Swimming breast stoke,F,47,N,07h00,1996-03-05,Mar,1996,05,47.0,N,Tiger
2312,Unprovoked,AUSTRALIA,New South Wales,Lord Howe Island,Fishing in knee-deep water,M,7,N,,1996-03-01,Mar,1996,01,7.0,N,
2313,Unprovoked,AUSTRALIA,New South Wales,"Charles Street Wharf, Parramatta River",Dived naked into the water on a bet,M,24,N,Night,1996-02-26,Feb,1996,26,24.0,N,Whaler
2314,Provoked,USA,Missouri,St. Louis,Swimming in fish tank,F,32,N,,,,,,32.0,N,Nurse
2319,Unprovoked,AUSTRALIA,New South Wales,"Ned's Beach, Lord Howe Island",Swimming,M,7,N,Afternoon,1996-02-04,Feb,1996,04,7.0,N,Reef
2320,Provoked,USA,Florida,"Florida Keys, Monroe County",Wading,M,33,N,,1996-01-23,Jan,1996,23,33.0,N,Nurse
2321,Unprovoked,AUSTRALIA,Queensland,"Brown's Inlet, Broadwater",Swimming,F,13,N,,1996-01-22,Jan,1996,22,13.0,N,Whaler
2322,Unprovoked,USA,Hawaii,"KaelekiI Point, Maui",Swimming with mask & snorkel,M,53,N,15h45,1996-01-16,Jan,1996,16,53.0,N,Tiger
2324,Boating,AUSTRALIA,New South Wales,Eight-mile reef off Port Kembla,Chumming for sharks,unknown,,N,10h00,1996-01-12,Jan,1996,12,,N,Mako
2325,Unprovoked,REUNION,Saint-Paul ,Embouchure de l'étang de Saint Paul,Surfing,M,25,Y,16h00,1996-01-10,Jan,1996,10,25.0,Y,Tiger
2329,Unprovoked,NEW ZEALAND,"Chatham Islands, east of New  Zealand",,"Diving, gathering shellfish",M,22,N,,1995-11-11,Nov,1995,11,22.0,N,White
2334,Unprovoked,USA,Florida,"North Beach, St. Lucie County",Surfing,M,17,N,,1995-10-21,Oct,1995,21,17.0,N,
2335,Unprovoked,AUSTRALIA,Queensland,"Pialba, Hervey Bay",Playing / standing,F,15,N,14h30,1995-10-11,Oct,1995,11,15.0,N,
2336,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,39,N,11h30,1995-10-01,Oct,1995,01,39.0,N,
2337,Unprovoked,USA,Florida,"Crescent Beach, St. Augustine, St. Johns County",Surfing,M,14,N,Morning,1995-09-30,Sep,1995,30,14.0,N,
2338,Unprovoked,USA,Florida,"North Beach, Hutchinson Island, St. Lucie County",Surfing,M,17,N,,1995-09-30,Sep,1995,30,17.0,N,
2339,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,M,25,N,17h30,1995-09-28,Sep,1995,28,25.0,N,White
2340,Unprovoked,USA,Florida,"Matanzas Bay Inlet, St. Johns County",Surfing,M,19,N,,1995-09-19,Sep,1995,19,19.0,N,
2341,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,F,19,N,15h40,1995-09-17,Sep,1995,17,19.0,N,
2343,Unprovoked,USA,Florida,"Alligator Reef, off Islamorada, Monroe County",Scuba diving,M,25,Y,,1995-09-13,Sep,1995,13,25.0,Y,Bull
2344,Unprovoked,AUSTRALIA,Western Australia,"Honeymoon Island, near Hopetown",Abalone diving using Hookah (near calving whales),M,29,Y,15h00,1995-09-11,Sep,1995,11,29.0,Y,White
2345,Unprovoked,USA,California,"Shelter Cove, Humboldt County",Abalone diving using Hookah (resting on the surface),M,32,N,16h00,1995-09-03,Sep,1995,03,32.0,N,White
2346,Invalid,USA,North Carolina,"Bald Head Island, Brunswick County",Swimming,M,9,,,1995-09-03,Sep,1995,03,9.0,unknown,
2347,Unprovoked,USA,Florida,"North Beach Inlet, St. Lucie County",Surfing,M,19,N,,1995-08-31,Agu,1995,31,19.0,N,
2348,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",On a float,M,44,N,,1995-08-31,Agu,1995,31,44.0,N,
2350,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",Surfing,M,16,N,18h30,1995-08-26,Agu,1995,26,16.0,N,
2351,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Surfing,M,18,N,14h10,1995-08-26,Agu,1995,26,18.0,N,Small
2352,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Swimming,M,16,N,"""Night""",1995-08-25,Agu,1995,25,16.0,N,
2353,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming ,M,23,N,Afternoon,1995-08-22,Agu,1995,22,23.0,N,
2354,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Surfing,M,19,N,19h00,1995-08-22,Agu,1995,22,19.0,N,Small
2356,Unprovoked,TONGA,Vavau,Near Tapana Island,Fishing,M,18,N,15h00,1995-08-19,Agu,1995,19,18.0,N,Small
2357,Unprovoked,USA,Florida,"Daytona Beach, Volusia County ",Wading,M,20,N,08h30,1995-08-15,Agu,1995,15,20.0,N,
2358,Invalid,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,M,15,,,1995-08-13,Agu,1995,13,15.0,unknown,
2359,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,20,N,13h30,1995-08-10,Agu,1995,10,20.0,N,
2360,Unprovoked,USA,South Carolina,"Ocean Lakes Campground, south of Myrtle Beach, Horry County","""Riding waves on a board""",F,14,N,,1995-08-10,Agu,1995,10,14.0,N,Blacktip
2361,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Body boarding,M,12,N,14h10,1995-08-07,Agu,1995,07,12.0,N,
2364,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,N,16h30,1995-07-28,Jul,1995,28,,N,
2365,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,N,14h45,1995-07-28,Jul,1995,28,,N,
2366,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,N,14h10,1995-07-28,Jul,1995,28,18.0,N,
2367,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,18,N,13h40,1995-07-28,Jul,1995,28,18.0,N,
2369,Unprovoked,USA,South Carolina,"Pawleys Island, Georgetown County",Swimming,F,7,N,,1995-07-24,Jul,1995,24,7.0,N,
2370,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Body boarding,M,47,N,,1995-07-23,Jul,1995,23,47.0,N,
2371,Unprovoked,BRAZIL,Pernambuco,Candeias,Surfing,M,18,Y,,1995-07-07,Jul,1995,07,18.0,Y,
2372,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,Surfing,M,14,N,17h00,1984-11-08,Nov,1984,08,14.0,N,
2373,Unprovoked,USA,Texas,Port Aransas,Surfing,M,34,N,,1995-07-06,Jul,1995,06,34.0,N,
2374,Provoked,USA,Mississippi,"Cat Island, Harrison County",Fishing,F,32,N,,1995-07-03,Jul,1995,03,32.0,N,Blacktip
2376,Unprovoked,USA,California,"Bluefish Cove, Pt. Lobos State Park, Monterey County",Scuba diving (ascending using scooter),M,31,N,17h30,1995-06-30,Jun,1995,30,31.0,N,White
2377,Unprovoked,USA,California,"LaJolla Shores, San Diego County",Kayaking,F,,N,,1995-06-24,Jun,1995,24,,N,White
2378,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Playing / jumping,M,13,N,,1995-06-23,Jun,1995,23,13.0,N,
2380,Unprovoked,USA,Florida,"Jensen Beach Park, Martin County",Swimming,M,45,N,18h30?,1995-06-17,Jun,1995,17,45.0,N,
2381,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Swimming,F,10,N,14h00,1995-06-16,Jun,1995,16,10.0,N,
2382,Unprovoked,USA,Hawaii,"Opposite Grand Wailea Resort, Wailea, Maui",Swimming,M,38,N,11h50,1995-06-14,Jun,1995,14,38.0,N,Tiger
2383,Unprovoked,HONG KONG,Clearwater Bay,First Beach,Swimming,F,45,Y,,1995-06-13,Jun,1995,13,45.0,Y,Tiger
2384,Unprovoked,HONG KONG,New Territories,Sheung Sze Wan Beach,Swimming,M,29,Y,14h30,1995-06-02,Jun,1995,02,29.0,Y,
2386,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,M,15,N,,1995-05-26,May,1995,26,15.0,N,Bull
2387,Unprovoked,FIJI,Yasawa Islands,Waya Island,Sleeping in anchored boat,M,69,Y,,1995-05-24,May,1995,24,69.0,Y,
2389,Unprovoked,SOUTH KOREA,,Jangkodo Island,Diving for abalone,F,44,Y,,1995-05-12,May,1995,12,44.0,Y,
2390,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",,M,12,,10h35,1995-04-16,Apr,1995,16,12.0,unknown,
2391,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",,M,20,N,13h20,1995-04-13,Apr,1995,13,20.0,N,
2392,Unprovoked,AUSTRALIA,New South Wales,"Honeysuckle Point, Eden",Diving,M,,N,,1995-04-09,Apr,1995,09,,N,Wobbegong
2393,Unprovoked,JAPAN,Aichi Prefecture,Atsumi Peninsula,Scuba diving for bivalves,M,47,Y,10h15,1995-04-09,Apr,1995,09,47.0,Y,White
2395,Unprovoked,AUSTRALIA,South Australia,Cactus Beach,Surfing,M,35,N,07h30,1995-03-11,Mar,1995,11,35.0,N,Whaler
2397,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kidds Beach,Swimming,M,22,N,17h15,1995-02-19,Feb,1995,19,22.0,N,Raggedtooth
2399,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Swimming,M,14,Y,18h00,1995-01-24,Jan,1995,24,14.0,Y,Tiger
2400,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,M,17,N,,1995-01-02,Jan,1995,02,17.0,N,
2402,Provoked,AUSTRALIA,Queensland,Gladstone Reef,Snorkeling,M,,N,,1995-01-01,Jan,1995,01,,N,Leopard
2405,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Body boarding,M,26,N,16h00,1994-12-30,Dec,1994,30,26.0,N,White
2410,Invalid,AUSTRALIA,Queensland,"Hinchinbrook Channel, Queensland",Murder victim,M,44,,,1994-12-09,Dec,1994,09,44.0,unknown,
2411,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",Commercial diver (submerged or treading water),M,42,Y,08h45,1994-12-09,Dec,1994,09,42.0,Y,White
2413,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Spearfishing,M,,N,,1994-11-25,Nov,1994,25,,N,Raggedtooth
2414,Unprovoked,USA,Hawaii,"Off the Hanalei River, Kaua'i","Surfing, paddling seawards",F,34,N,09h45,1994-11-13,Nov,1994,13,34.0,N,
2418,Provoked,USA,Florida,"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",Wading,F,9,N,13h00,1994-10-09,Oct,1994,09,9.0,N,Sand
2419,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,16,N,12h00,1994-10-05,Oct,1994,05,16.0,N,
2420,Unprovoked,USA,South Carolina,"North Forest Beach, near Hilton Head, Beaufort County",Swimming,F,30,N,,1994-09-26,Sep,1994,26,30.0,N,
2421,Unprovoked,USA,Oregon,"Short Sand Beach, Oswald West State Park",Surfing,M,43,N,16h30,1994-09-21,Sep,1994,21,43.0,N,White
2422,Sea Disaster,USA,Florida,Florida Straits,Adrift on refugee raft,M,7      &    31,Y,,,,,,,Y,
2423,Unprovoked,USA,Hawaii,Makaha Surf Beach,Jumped off rocks into white water,F,12,N,11h15,1994-09-05,Sep,1994,05,12.0,N,Small
2425,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,15,N,,1994-07-24,Jul,1994,24,15.0,N,
2427,Unprovoked,REUNION,Saint-Denis,Barachois,Windsurfing,M,24,Y,13h45,1994-07-09,Jul,1994,09,24.0,Y,Bull
2428,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,22,Y,13h26,1994-07-09,Jul,1994,09,22.0,Y,White
2429,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,31,N,13h25,1994-07-09,Jul,1994,09,31.0,N,White
2431,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,N,15h00,1994-07-08,Jul,1994,08,15.0,N,Small
2432,Unprovoked,BAHAMAS,Grand Bahama Island,Freeport,Spearfishing,M,30,N,15h30,1994-06-24,Jun,1994,24,30.0,N,
2433,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,24,N,10h30,1994-05-31,May,1994,31,24.0,N,
2434,Unprovoked,USA,Florida," Daytona Beach, Volusia County",Surfing,M, 28,N,08h00,1994-05-31,May,1994,31,28.0,N,Spinner
2435,Unprovoked,USA,Florida,"3 miles east of Jacksonville Beach, Duval County",Spearfishing,M,35,N,,1994-05-28,May,1994,28,35.0,N,
2436,Unprovoked,USA,Florida,"Spessard Holland Park, Melbourne Beach, Brevard County",Wading,F,36,N,,1994-05-24,May,1994,24,36.0,N,
2437,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,26,N,Afternoon,1994-05-23,May,1994,23,26.0,N,
2438,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,N,08h30,1994-05-15,May,1994,15,22.0,N,
2441,Unprovoked,BAHAMAS,,Rum Cay,Wading,M,20?,N,10h30,1994-04-06,Apr,1994,06,,N,
2442,Unprovoked,USA,Florida,"Miami Beach, Dade County",Freediving for seashells,M,71,N,15h00,1994-04-03,Apr,1994,03,71.0,N,
2443,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,M,,Y,,1994-04-02,Apr,1994,02,,Y,White
2444,Unprovoked,CHILE,,300 miles east of Easter Island,Swimming alongside NOAA research vessel Discoverer,F,19,N,11h58,1994-03-23,Mar,1994,23,19.0,N,White
2445,Unprovoked,CHILE,,300 miles East of Easter Island,Swimming alongside NOAA research vessel Discoverer,M,,N,11h51,1994-03-23,Mar,1994,23,,N,White
2446,Provoked,USA,California,,Removing shark from tank in nightclub ,M,33,N,,1994-03-07,Mar,1994,07,33.0,N,Lemon
2447,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,25,N,,1994-03-01,Mar,1994,01,25.0,N,
2448,Unprovoked,SOUTH AFRICA,Western Cape Province,Saxon Reef,Spearfishing,M,,N,11h00,1994-02-27,Feb,1994,27,,N,
2449,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,23,N,13h00,1994-02-19,Feb,1994,19,23.0,N,
2450,Provoked,USA,Hawaii,Kailua Bay,Fishing,M,,N,17h00,1994-02-13,Feb,1994,13,,N,
2451,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Beachview Holiday Resort,Surfing,M,15,N,16h30,1994-02-12,Feb,1994,12,15.0,N,White
2454,Unprovoked,USA,Hawaii,"Velzyland, north shore of O'ahu",Surfing,M,,Y,,1994-01-31,Jan,1994,31,,Y,Tiger
2455,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Windsurfing,M,44,N,13h30,1994-01-30,Jan,1994,30,44.0,N,
2456,Boat,AUSTRALIA,Western Australia,Albany,Fishing,unknown,,N,07h30,,,,,,N,White
2457,Unprovoked,AUSTRALIA,Queensland,"Katana Downs Reach, Brisbane River","Swimming, after falling off towed kneeboard",M,23,N,,1994-01-09,Jan,1994,09,23.0,N,
2458,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Hibberdene,Swimming ,M,33,N,16h15,1994-01-03,Jan,1994,03,33.0,N,
2461,Unprovoked,USA,Hawaii,Waipo,Surfing,M,,Y,,1993-12-01,Dec,1993,01,,Y,Tiger
2462,Unprovoked,USA,Florida,"North Beach Jetty, St Lucie County",Swimming,M,30,N,,1993-11-28,Nov,1993,28,30.0,N,
2463,Unprovoked,AUSTRALIA,Western Australia, A pearl  farm in Roebuck Bay,Hookah diving,M,27,Y,15h15,1993-11-21,Nov,1993,21,27.0,Y,Tiger
2464,Unprovoked,USA,Hawaii,"Horners, Wailua, Kaua'i","Surfing, paddling shorewards",M,,N,10h55,1993-11-12,Nov,1993,12,,N,
2466,Unprovoked,USA,California,"""Bunkers"" Eureka, Humboldt County",Surfing,M,26,N,16h30,1993-10-30,Oct,1993,30,26.0,N,White
2467,Unprovoked,USA,Florida,"Treasure Shores Beach, Indian River County",Swimming,F,26,N,10h00,1993-10-26,Oct,1993,26,26.0,N,Bull
2468,Boating,USA,California,"Goat Rock, Bodega Bay, Sonoma County?",Kayaking,F,34,N,14h30,1993-10-10,Oct,1993,10,34.0,N,White
2470,Unprovoked,SOMALIA,Banaadir Region,Mogadishu,Swimming,M,21,Y,,1993-09-30,Sep,1993,30,21.0,Y,
2471,Unprovoked,SOUTH AFRICA,Western Cape Province,Danger Point,Spearfishing,M,36,N,11h30,1993-09-26,Sep,1993,26,36.0,N,White
2472,Unprovoked,EL SALVADOR,La Libertad,near El Cocal Beach,Surfing,unknown,15,N,,1993-09-16,Sep,1993,16,15.0,N,White
2473,Unprovoked,EL SALVADOR,La Libertad,El Cocal Beach,Surfing,M,17,Y,,1993-09-16,Sep,1993,16,17.0,Y,
2474,Unprovoked,USA,Florida,"Huguenot Memorial Park, Duval County",Wading,M,19,N,,1993-09-14,Sep,1993,14,19.0,N,
2476,Unprovoked,SPAIN,Costa Blanca,"Playa de las Arenas, Valencia ",Swimming,M,69,N,08h00,1993-09-03,Sep,1993,03,69.0,N,
2477,Unprovoked,BAHAMAS,Walkers Cay,"Matinella Reef, 15 to 20 miles west of Walkers Cay",Spearfishing,M,51,N,17h15,1993-08-21,Agu,1993,21,51.0,N,Blacktip
2479,Unprovoked,USA,Hawaii,"Paukukalo, Maui","Surfing, paddling seawards",M,,N,07h05,1993-08-19,Agu,1993,19,,N,
2480,Boat,USA,California,Between Santa Cruz Island and Santa Barbara,Watching the shark feeding on a dead pinniped,unknown,,N,11h30,1993-08-15,Agu,1993,15,,N,White
2481,Unprovoked,USA,North Carolina,Pamlico Sound,Riding floatation device,F,19,N,10h00,1993-08-15,Agu,1993,15,19.0,N,Bull
2483,Unprovoked,USA,California,"Abalone Point, Westport Union Landing, Mendocino County",Free diving for abalone (ascending),M,39,N,14h00,1993-08-12,Agu,1993,12,39.0,N,White
2486,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Pollock Beach, Port Elizabeth",Surfing,M,28,N,15h00,1993-07-30,Jul,1993,30,28.0,N,White
2487,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Playing,F,12,N,18h12,1993-07-07,Jul,1993,07,12.0,N,
2489,Unprovoked,REUNION,Saint-Paul,Cap de la Marianne,Body boarding,M,16,N,,1993-06-29,Jun,1993,29,16.0,N,
2490,Unprovoked,HONG KONG,New Territories,Silverstrand,Swimming,M,61,Y,07h15,1993-06-11,Jun,1993,11,61.0,Y,
2491,Unprovoked,MEXICO,Quintana Roo,"Santa Rosa Shallows, Cozumel",Scuba diving,F,42,Y,19h30,1993-06-11,Jun,1993,11,42.0,Y,
2492,Unprovoked,USA,Hawaii,"Goats Island (Mokuauia Island), Malaekahana State Recreation Area, Laie, O'ahu",Paddling on surfboard or body board,M,22,N,07h10,1993-06-10,Jun,1993,10,22.0,N,Tiger
2493,Unprovoked,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Scuba diving,M,31,Y,09h30,1993-06-09,Jun,1993,09,31.0,Y,White
2494,Unprovoked,AUSTRALIA,Tasmania,Tenth Island (King Island),Scuba diving at seal colony,F,34,Y,10h55,1993-06-05,Jun,1993,05,34.0,Y,White
2495,Unprovoked,HONG KONG,New Territories,Sheung Sz Wan,Swimming,M,42,Y,,1993-06-01,Jun,1993,01,42.0,Y,
2496,Unprovoked,USA,North Carolina,"Hamstead, Pender County",Swimming,F,60's,N,Dusk,1993-06-01,Jun,1993,01,,N,
2499,Invalid,AUSTRALIA,Tasmania,Barren Joey Island,Spearfishing,M,32,,,1993-04-01,Apr,1993,01,32.0,unknown,
2501,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Floating on his back,M,25,N,16h00,1993-03-22,Mar,1993,22,25.0,N,
2503,Unprovoked,USA,Hawaii,"Paradise Bay (next to Wailua Bay), Maui",Paddling on surfboard,M,35,N,15h45,1993-03-14,Mar,1993,14,35.0,N,Tiger
2504,Unprovoked,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",Free diving & spearfishing (ascending),M,55,N,14h30,1993-03-12,Mar,1993,12,55.0,N,White
2506,Sea Disaster,TONGA,Tongapatu Group,Between 'Ata and Tongapatu,Sea disaster,M,,N,03h00,1993-02-19,Feb,1993,19,,N,
2507,Sea Disaster,TONGA,Tongapatu Group,Between 'Ata and Tongapatu,Sea disaster,M,,N,Afternoon,1993-02-18,Feb,1993,18,,N,
2508,Provoked,AUSTRALIA,Queensland,Mooloolaba,Fishing,M,69,N,13h45,1993-02-04,Feb,1993,04,69.0,N,Whaler
2509,Unprovoked,BRAZIL,Pernambuco,Piedade,Body boarding,M,15,N,,1993-01-23,Jan,1993,23,15.0,N,
2510,Unprovoked,AUSTRALIA,Queensland,"Line Reef, northeast of Hamilton Island, Whitsundays",Spearfishing,M,21,N,09h00,1993-01-05,Jan,1993,05,21.0,N,
2511,Boating,CARIBBEAN SEA,,Off Dominican Republic,   ,M,32 & 30,N,,1993-01-04,Jan,1993,04,,N,Whitetip
2512,Unprovoked,USA,Oregon,"Bastendorf Beach, Coos County",Surfing,M,29,N,16h30,1993-01-02,Jan,1993,02,29.0,N,White
2517,Unprovoked,USA,Hawaii,"Honomuni, Moloka'i","Standing in waist-deep water, helping his father tend a gill net containing dead fish",M,10,N,A.M.,1992-12-28,Dec,1992,28,10.0,N,Tiger
2518,Unprovoked,USA,Hawaii,"Chun's Reef, Laniakea, O'ahu",Lying on surfboard,M,30,N,17h30,1992-12-23,Dec,1992,23,30.0,N,Tiger
2519,Unprovoked,USA,California,"San Onofre, San Diego County ",Spearfishing / free diving,M,31,N,15h30,1992-11-29,Nov,1992,29,31.0,N,Mako
2520,Unprovoked,USA,Florida,"Brevard County, a mile north of Sebastian Inlet",Surfing,M,19,N,07h30,1992-11-25,Nov,1992,25,19.0,N,Blacktip
2521,Unprovoked,USA,Florida,,Surfing,M,24,N,13h00,1992-11-23,Nov,1992,23,24.0,N,
2522,Boating,USA,California,"Ano Nuevo, San Mateo County",Kayaking,M,46,N,12h50,1992-11-14,Nov,1992,14,46.0,N,White
2523,Unprovoked,FIJI,Wakaya Island,,Scuba diving,M,30,N,,,,,,30.0,N,Hammerhead
2524,Unprovoked,USA,California,"San Nicholas Island, Santa Barbara County",Scuba diving (submerged),M,40,N,14h00,1992-11-11,Nov,1992,11,40.0,N,Unidentified
2525,Unprovoked,USA,Florida,"North Jetty Park, Fort Pierce, St Lucie County",Surfing,M,17,N,14h15,1992-11-06,Nov,1992,06,17.0,N,
2526,Unprovoked,USA,Hawaii,"Kea'au Beach Park, O'ahu",Body boarding,M,18,Y,09h45,1992-11-05,Nov,1992,05,18.0,Y,Tiger
2527,Unprovoked,USA,California,"Castle Rock, San Miguel Island, Santa Barbara County",Hookah diving for sea urchins,M,40,N,11h00,1992-10-29,Oct,1992,29,40.0,N,White
2528,Unprovoked,USA,Hawaii,"Lanaikea, O'ahu",Surfing,M,28,N,07h40,1992-10-22,Oct,1992,22,28.0,N,Tiger
2529,Unprovoked,AUSTRALIA,New South Wales,Avalon Beach,Scuba diving,M,,N,,1992-10-15,Oct,1992,15,,N,Nurse
2531,Unprovoked,AUSTRALIA,Queensland,"North Point Beach, Moreton Island",Surfing,M,28,Y,14h30,1992-10-01,Oct,1992,01,28.0,Y,White
2532,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Body boarding,M,,N,Afternoon,1992-09-18,Sep,1992,18,,N,
2533,Unprovoked,USA,Oregon,"Gold Beach, Curry County",Surfing,M,20,N,17h00,1992-09-13,Sep,1992,13,20.0,N,White
